name,official_name,alias,origins,climate,description,difficulty,water,light,humidity,temperature,toxicity,format,leaf_shape,image_url,url,height,width
Philodendron Selloum,Thaumatophyllum bipinnatifidum (FKA Philodendron),"Lacy Tree, Philodendron Hope, Philodendron Lickety-Split",Central & South America,Tropical,"A big frilly floppy split leaf graces this Philodendron! This tropical plant can be found in massive proportions in the wild and they are equally impressive (albeit smaller) indoors. A commonly sold hybrid was named 'Lickety-Split', which we think fits perfectly!",2,Allow top inches of soil to dry between waterings.,"Medium to bright, indirect light.",Extra humidity appreciated in drier spaces.,"Can adapt, but doesn't like sudden change.",Highly toxic to humans and pets if ingested.,"Densely packed, outward reaching stems.",Bright green with deeply lobed frilly edges.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1e109fe2b8b22df985567_philodendron%20selloum-export.png,https://www.howmanyplants.com/plant/philodendron-selloum,6-8,2-3
Alocasia Calidora,Alocasia x 'Calidora',"Elephant's Ear, Persian Palm",East & Southeast Asia,Tropical & Subtropical,This large leafed plant friend is sure to bring some serious jungle vibes to your space. The fun frilly arrowhead shaped leaves are a brilliant shade of bright green that like to point up towards the sun!,3,"Keep soil just moist, but not soggy.","Bright, indirect light.",Extra humidity appreciated in drier spaces.,Enjoys warmer temps.,Highly toxic to humans and pets if ingested.,Upright clusters of long stems.,Bright green with a ruffled arrowhead shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5f9888abbfa9af446238dee0_alocasia%20calidora-export.png,https://www.howmanyplants.com/plant/alocasia-calidora,6,3-4
Tricolor Hoya,Hoya carnosa 'Tricolor',"Wax Plant, Wax Vine, Porcelain Flower",Southeast Asia,Tropical,Plump waxy leaves that are green on the edges with light green to almost white in the center. You may also notice some leaves with a pinkish hue! A high shelf or hanging planter is perfect for displaying their trailing tendrils.,3,Allow half of soil to dry out before watering again.,"Low light tolerant. Bright, indirect light preferred.",Extra humidity appreciated in drier spaces.,"Can adapt, but doesn't like sudden change.",Mildly toxic to humans and pets if ingested.,Cascading tendrils create a mane-like look.,Bright green with variegation and a petite almond shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1dff04b709cafaba6551c_tricolor%20hoya-export.png,https://www.howmanyplants.com/plant/tricolor-hoya,6,
Spotted Begonia,Begonia maculata,"Polka Dot Begonia, Trout Begonia, Angel Wing Begonia, 'Wightii'",Eastern Brazil,Subtropical,"Quite a cheery little plant. Known for their 'angel wing' leaves with the cutest silver polka dots and red undersides! These are cane-type begonias, which means they grow on upright stems, generally in clusters or clumps and can grow quite tall!",3,Allow top inches of soil to dry between waterings.,"Bright, indirect light.",Extra humidity appreciated in drier spaces.,"Can adapt, but doesn't like sudden change.",Mildly toxic to humans and pets if ingested.,Upright cane-like stalks.,Olive green with polka dots and angel-wing shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1dffec9185339aa06dbe8_spotted%20begonia-export.png,https://www.howmanyplants.com/plant/spotted-begonia,3,1-2
String of Dolphins,Curio x peregrinus (FKA Senecio),"Dolphin Necklace, Dolphin Plant, Flying Dolphins",Southwest Africa,Subtropical,A cutie for sure! Named for the adorable little leaves that look like dolphins jumping out of the water! These gorgeous cascading stems are perfect for a high shelf or a hanging planter.,3,Allow half of soil to dry out before watering again.,"Bright, indirect to direct light.",Not too concerned by humidity levels.,"Can adapt, but doesn't like sudden change.",Mildly toxic to humans and pets if ingested.,Cascading tendrils create a mane-like look.,"Plump vibrant green, shaped like dolphins.",https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa444d8a2885a22bf33ad7a_string%20of%20dolphins-export.png,https://www.howmanyplants.com/plant/string-of-dolphins,2-3,
String of Hearts,Ceropegia woodii,"Chain of Hearts, Rosary Vine, Heart Vine",Southern Africa,Subtropical,Distinguished for their garland-like trailing stems with adorable little leaves that resemble hearts! The coloration can vary from solid green (often with contrasting veining) to a green/white marbled look on the front and a delightful pink hue on the back.,3,Allow half of soil to dry out before watering again.,"Bright, indirect to direct light.",Not too concerned by humidity levels.,"Can adapt, but doesn't like sudden change.",Mildly toxic to humans and pets if ingested.,Cascading tendrils create a mane-like look.,Rounded hearts in a variegated green.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1eb22625e470a78b04dca_string%20of%20hearts-export.png,https://www.howmanyplants.com/plant/string-of-hearts,2-3,
Fishbone Cactus,Disocactus anguliger,"Zig Zag Cactus, Ric Rac Cactus",Central America,Tropical,"Quite a unique trailing houseplant, the Fishbone Cactus is distinguished by leaves that grow in a wonderfully wiggly zig zag pattern! They shoot straight up and then curve down as they grow longer and longer.",2,Allow half of soil to dry out before watering again.,"Bright, indirect light.",Extra humidity appreciated in drier spaces.,"Can adapt, but doesn't like sudden change.",Mildly toxic to humans and pets if ingested.,Cascading tendrils create a mane-like look.,Vibrant green tendrils in a zig-zag shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1e024370f8227a2ece6a6_fishbone%20cactus-export.png,https://www.howmanyplants.com/plant/fishbone-cactus,3,
Peace Lily,Spathiphyllum wallisii,Spath Lily,"Central & South America, Southeast Asia",Tropical,A pleasantly lush cluster of vibrant green leaves create the perfect backdrop for the elegant white blooms that peek out in spring (with a bonus appearance in the fall)... and can stick around for quite awhile.,2,"Keep soil just moist, but not soggy.","Low light tolerant. Bright, indirect light preferred.",Extra humidity appreciated in drier spaces.,Enjoys warmer temps.,Highly toxic to humans and pets if ingested.,Densely packed upright stems.,Bright green with an elongated teardrop shape and a white inflorescence.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/60ad4179a66b4717ebe25e5f_peace%20lily-export.png,https://www.howmanyplants.com/plant/peace-lily,,
Aloe Plant,Aloe vera,Aloe barbadensis,Southeast Arabian Peninsula,Tropical (semi-arid region),A lovely rosette of spear-like leaves fan out from a central stem. This particularly easy going succulent sports extra plump leaves that contain a first-aid bonus inside. The watery gel in each spear can provide quick relief for burns or bites.,1,Allow half of soil to dry out before watering again.,"Bright, indirect to direct light.",Not too concerned by humidity levels.,"Can adapt, but doesn't like sudden change.",Highly toxic to humans and pets if ingested.,Densely packed upright leaves.,Plump green or blue-green spears with serrated edges.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/60ad47ccedc01726e0ab73e6_aloe%20plant-export.png,https://www.howmanyplants.com/plant/aloe-plant,1-2,1-2
Boston Fern,Nephrolepis exaltata 'Bostoniensis',"Sword Fern, Ladder Fern, Boss Fern",South America,Tropical & Subtropical,One of the most popular ferns and for good reason - the delicately textured fronds create a particularly fluffy and lush look that is hard to resist and will certainly sit pretty in a hanging planter or high shelf. Not to mention those Jurassic forest vibes.,3,"Keep soil just moist, but not soggy.","Medium to bright, indirect light.",Sensitive to low humidityâkeep in a humid spot.,"Can adapt, but doesn't like sudden change.",Non-toxic. Completely pet safe!,Cascading tendrils create a mane-like look.,Fluffy green fronds.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/60ad4093187e46817b2bed3b_boston%20fern-export.png,https://www.howmanyplants.com/plant/boston-fern,2-3,2-3
Watermelon Peperomia,Peperomia argyreia,Watermelon Begonia,Northern South America,Tropical,"A simply adorable little plant whose leaves strike an uncanny resemblance to the rind of a watermelon. This petite, but bushy plant will stand out all on its own or cozied up to a few friends.",3,Allow top inches of soil to dry between waterings.,"Bright, indirect light.",Extra humidity appreciated in drier spaces.,"Can adapt, but doesn't like sudden change.",Non-toxic. Completely pet safe!,Low bushy clusters of densely packed stems.,Thick round leaves with a stripe pattern.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/60ad47c2644bac79a96a433c_watermelon%20peperomia-export.png,https://www.howmanyplants.com/plant/watermelon-peperomia,,
Tradescantia Nanouk,Tradescantia albiflora 'Nanouk',"Spiderwort, Inch Plant, Fantasy Venice, Wandering Jew (or Dude)","Caribbean, Central & South America",Tropical,"A striking plant whose colors and patterns bring a dash of delight to any plant fam. The pretty leaves stack up on an upright stem that will eventually cascade over the planter. The shock of bright, almost neon, magenta on the underside of each leaf gets us every time!",3,Allow top inches of soil to dry between waterings.,"Bright, indirect light.",Extra humidity appreciated in drier spaces.,"Can adapt, but doesn't like sudden change.",Mildly toxic to humans and pets if ingested.,Low bushy clusters of densely packed stems.,Vibrant colors and striations on petite almond-shaped leaves.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/60ad4ac89bbf6d7f1dffead9_tradescantia%20nanouk-export.png,https://www.howmanyplants.com/plant/tradescantia-nanouk,2,
Satin Pothos,Scindapsus pictus 'Argyraeus',"Silk Pothos, Silver Pothos, Silver Philodendron, Silver Vine, Silver Cloud",Southeast Asia,Tropical,An understated beauty whose elegant grey-green leaves and silvery spots shimmer in the light as they tumble down in long vines. But those vines will also climb if provided a little support or training.,2,Allow top inches of soil to dry between waterings.,"Bright, indirect light.",Extra humidity appreciated in drier spaces.,Enjoys warmer temps.,Mildly toxic to humans and pets if ingested.,A low shrubby plant that vines to great lengths.,Grey-green with spotted variegation and a heart shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/60ef1a305a320101bee3b6f2_satin%20pothos-export.png,https://www.howmanyplants.com/plant/satin-pothos,20,
Starfish Snake Plant,Dracaena cylindrica var. patula 'Boncel' (FKA Sansevieria),"African Spear Plant, Cylindrical Snake Plant, Spear Sansevieria, Spear Orchid",West Africa,Tropical Savannah,"This snake plant is distinguished by their chubby spear-like leaves that splay out to resemble a starfish. Often potted in multiples, the aquatic effect can be quite striking.",1,Allow half of soil to dry out before watering again.,"Low light tolerant. Bright, indirect light preferred.",Not too concerned by humidity levels.,"Can adapt, but doesn't like sudden change.",Mildly toxic to humans and pets if ingested.,Densely packed upright leaves.,Cylindrical spears in bright green with variegation.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/60ef1e156fc6028e2de6d7e1_starfish%20snake%20plant-export.png,https://www.howmanyplants.com/plant/starfish-snake-plant,3,1-2
African Milk Tree,Euphorbia trigona 'Rubra',"African Milk Bush, Cathedral Cactus, Abyssinian Euphorbia, High Chaparral, Friendship Cactus",West Africa,Tropical Savannah,"One of the most whimsical plants we've encountered. The central stem and clusters of ""arms"" create a tree-like look, while each stem is studded with rows of leaves that stick out and remind us of an aquatic creature and/or alien. This particular variety is also accented with a tinge of red!",2,Allow half of soil to dry out before watering again.,"Bright, indirect to direct light.",Not too concerned by humidity levels.,"Can adapt, but doesn't like sudden change.",Mildly toxic to humans and pets if ingested.,"A central upright stem with multiple branches or ""arms"".",Perky little leaves with a teardrop shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/60ef1e5265b9a7a14f9ff793_african%20milk%20tree-export.png,https://www.howmanyplants.com/plant/african-milk-tree,4,1-2
Bird's Nest Fern,Aspelnium nidus,Nest Fern,Southeast Asia,Tropical,"A bit of a wild-child, this fern's playfully ruffled fronds create a tangle that resembles a bird's nest. Some say the fuzzy buds of new growth that are yet to be unfurled have the look eggs nestled at the center of the plant.",3,"Keep soil just moist, but not soggy.","Medium to bright, indirect light.",Sensitive to low humidityâkeep in a humid spot.,"Can adapt, but doesn't like sudden change.",Non-toxic. Completely pet safe!,Low bushy clusters of densely packed stems.,Slender leaves with a wavy texture.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/60ef29eee0dd2d42240836cb_bird%27s%20nest%20fern-export.png,https://www.howmanyplants.com/plant/birds-nest-fern,3-5,3-5
English Ivy,Hedera helix,"European Ivy, Ivy",Eastern Europe,Temperate,"Ivy is often thought of for their ability to either give the side of your house a distinguished collegiate look or invade your entire yard. But as a houseplant, the lovely tangle of vines is a welcome addition to any collection (and much easier to manage).",3,"Keep soil just moist, but not soggy.","Bright, indirect light.",Extra humidity appreciated in drier spaces.,"Can adapt, but doesn't like sudden change.",Mildly toxic to humans and pets if ingested.,A low shrubby plant that vines to great lengths.,Deep green palmate leaves.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/60ef2aacbaa437232aca5835_english%20ivy-export.png,https://www.howmanyplants.com/plant/english-ivy,20,
